company,cluster_id,cluster_label,count
Московский Аэропорт Домодедово,-1,noise,1
Мостранспорт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Мостранспорт,-1,noise,3
Название Компании Appmaster,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Название Компании Appmaster,-1,noise,4
Название Компании Beget,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Название Компании Beget,-1,noise,5
Нефтетранссервис,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Нефтетранссервис,-1,noise,1
Ниимэ,-1,noise,7
Ниимэ,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Нильсен,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Нильсен,-1,noise,5
Ниу Вшэ,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Ниу Вшэ,-1,noise,1
Омнитек,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Омнитек,-1,noise,3
Онлайн Решения,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Онлайн Решения,-1,noise,2
Онлайн Школа-Тетрика,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Ооо Айти Фаундейшн,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Ооо Мобайлдевелопмент,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Ооо Мобайлдевелопмент,-1,noise,4
Орнитех,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Орнитех,-1,noise,2
"Отп Банк В Какую То Команду Из Daily Banking, Которая Занимается Микрофронтами",9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
"Отп Банк В Какую То Команду Из Daily Banking, Которая Занимается Микрофронтами",-1,noise,1
Петрович Тех,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Петрович Тех,-1,noise,8
Платежное Решение,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Платежное Решение,-1,noise,9
Платформа,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Платформа,-1,noise,2
Поле.рф,9,9: сложности алгоритмов / typescript замыкание / react преимущества,45
Поле.рф,-1,noise,18
Продамус,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Продамус,-1,noise,4
Промсвязьбанк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22
Промсвязьбанк,-1,noise,8
Промышленные инновации,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Промышленные инновации,-1,noise,2
Р Софт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Р Софт,-1,noise,3
РСХБ Интех,9,9: сложности алгоритмов / typescript замыкание / react преимущества,76
РСХБ Интех,-1,noise,30
Райффайзен,9,9: сложности алгоритмов / typescript замыкание / react преимущества,34
Райффайзен,-1,noise,6
Рамблер,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Рамблер,-1,noise,1
Расчетные Решения,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Расчетные Решения,-1,noise,2
Рв Системс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Рвд Инфосистемы,-1,noise,7
Рвд Инфосистемы,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Редсофт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
Редсофт,-1,noise,5
Ренессанс Страхование,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Ренессанс Страхование,-1,noise,2
Рокет Тех,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Рокет Тех,-1,noise,2
Росбанк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Росбанк,-1,noise,5
Росгосстрах,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Росгосстрах,-1,noise,2
Российский Университет Дружбы Народов,-1,noise,9
Российский Университет Дружбы Народов,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Ростелеком Ит,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Ростелеком Ит,-1,noise,6
Ростелком Ит,-1,noise,4
Ростелком Ит,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Ротек,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Ротек,-1,noise,3
Рсхб - Отд.Корп.Аналитики,-1,noise,4
Рсхб - Отд.Корп.Аналитики,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Ртк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29
Ртк,-1,noise,20
Ртлабс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
Ртлабс,-1,noise,1
Рунити,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Рунити,-1,noise,2
СЗ РЦАИ,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
СЗ РЦАИ,-1,noise,3
Сапкод,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Сател,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Сател,-1,noise,2
Сбер,9,9: сложности алгоритмов / typescript замыкание / react преимущества,544
Сбер,-1,noise,179
Северсталь,9,9: сложности алгоритмов / typescript замыкание / react преимущества,65
Северсталь,-1,noise,17
Сибентек,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Сибентек,-1,noise,1
Сибинтек,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Сибур,-1,noise,2
Сибур,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Сигнал,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Сигнал,-1,noise,1
Синхро,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Снэп Айти,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Снэп Айти,-1,noise,1
Совкомбанк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,48
Совкомбанк,-1,noise,19
Согаз,9,9: сложности алгоритмов / typescript замыкание / react преимущества,49
Согаз,-1,noise,19
Сошиал Системс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Сошиал Системс,-1,noise,2
Спортс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Спортс,-1,noise,13
Спринтерра,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Спринтерра,-1,noise,4
Спросиврача,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Спросиврача,-1,noise,1
Сравни,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
Сравни,-1,noise,3
Стеллар,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Стеллар,-1,noise,2
СтилСофт,-1,noise,6
СтилСофт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Стрим Лабс,-1,noise,2
Стрим Лабс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Студия,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Сфера,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Т Банк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,135
Т Банк,-1,noise,45
Теле2,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26
Теле2,-1,noise,8
Тензор,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Тетрика Онлайн Школа,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Тех Тпп Лаб,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Тех Тпп Лаб,-1,noise,3
Технократия,-1,noise,2
Технократия,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Технологии Доверия,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Технологии Доверия,-1,noise,8
Топ Системы,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Точка Банк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,46
Точка Банк,-1,noise,13
Транснефть,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Транснефть,-1,noise,2
Триафлай,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Умный Сервис,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Умный Сервис,-1,noise,2
Урбантех,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Урбантех,-1,noise,2
Учи.ру,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Учи.ру,-1,noise,4
ФАККТ,9,9: сложности алгоритмов / typescript замыкание / react преимущества,27
ФАККТ,-1,noise,5
ФГАОУ ВО МИИТ,-1,noise,8
ФГАОУ ВО МИИТ,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Фалт Системс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Финам,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22
Финам,-1,noise,8
Финуслуги,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29
Финуслуги,-1,noise,11
Харош,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Цб Рф,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Цб Рф,-1,noise,4
Цезио,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Центр Авиа,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Центр Авиа,-1,noise,1
Центральный Банк Рф,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13
Центральный Банк Рф,-1,noise,2
Цифровые Привычки,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Цифровые Привычки,-1,noise,3
Чатап,-1,noise,8
Чатап,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Честный Знак,-1,noise,6
Честный Знак,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
ЭД Айти,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Элвис,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Эпик Дей,-1,noise,1
Эремейч Рус,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18
Эремейч Рус,-1,noise,8
Юспи Групп,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
Юспи Групп,-1,noise,3
Яндекс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,468
Яндекс,-1,noise,134
